iter	Passed	Remaining
399	71176	106764
400	71431	106701
401	71479	106329
402	71781	106335
403	71821	105953
404	71869	105586
405	71921	105225
406	71975	104868
407	72020	104500
408	72263	104419
409	72504	104335
410	72724	104220
411	72786	103879
412	72857	103553
413	73148	103538
414	73410	103481
415	73720	103491
416	73780	103151
417	74000	103034
418	74242	102947
419	74515	102901
420	74570	102556
421	74840	102507
422	75109	102454
423	75204	102164
424	75275	101842
425	75325	101495
426	75367	101137
427	75413	100786
428	75683	100735
429	75906	100620
430	75965	100289
431	76216	100210
432	76268	99871
433	76306	99514
434	76421	99260
435	76670	99179
436	76729	98852
437	76976	98769
438	77036	98444
439	77121	98155
440	77168	97816
441	77373	97680
442	77420	97344
443	77730	97337
444	77851	97095
445	78173	97103
446	78232	96784
447	78535	96767
448	78781	96678
449	78847	96369
450	79159	96360
451	79440	96312
452	79529	96031
453	79581	95707
454	79857	95653
455	80119	95581
456	80178	95267
457	80402	95148
458	80466	94841
459	80770	94817
460	81067	94783
461	81265	94634
462	81569	94606
463	81626	94292
464	81854	94176
465	82145	94132
466	82452	94104
467	82668	93974
468	82758	93698
469	82934	93521
470	82986	93205
471	83256	93134
472	83311	92822
473	83619	92793
474	83671	92479
475	83957	92423
476	83996	92097
477	84057	91794
478	84098	91472
479	84198	91214
480	84507	91183
481	84775	91107
482	84859	90832
483	84953	90570
484	85253	90526
485	85460	90384
486	85581	90150
487	85628	89839
488	85883	89746
489	86165	89681
490	86237	89399
491	86297	89103
492	86353	88806
493	86588	88692
494	86782	88535
495	87033	88437
496	87073	88124
497	87185	87886
498	87243	87593
499	87466	87466
500	87784	87434
501	88065	87363
502	88298	87245
503	88507	87102
504	88553	86800
505	88789	86683
506	89092	86632
507	89355	86541
508	89418	86256
509	89462	85954
510	89537	85682
511	89573	85374
512	89628	85086
513	89668	84783
514	89948	84708
515	90234	84638
516	90516	84564
517	90569	84275
518	90618	83983
519	90651	83678
520	90836	83513
521	90908	83245
522	90988	82986
523	91260	82901
524	91309	82613
525	91576	82523
526	91658	82266
527	91964	82210
528	92241	82128
529	92308	81858
530	92353	81570
531	92423	81304
532	92494	81041
533	92537	80753
534	92630	80510
535	92947	80461
536	93177	80336
537	93239	80067
538	93313	79809
539	93347	79518
540	93402	79245
541	93700	79178
542	93930	79053
543	94188	78952
544	94477	78876
545	94519	78592
546	94755	78472
547	94797	78190
548	94844	77914
549	95031	77752
550	95318	77673
551	95421	77443
552	95522	77212
553	95728	77066
554	95863	76863
555	96143	76776
556	96220	76527
557	96279	76264
558	96593	76203
559	96906	76141
560	97221	76078
561	97270	75809
562	97568	75732
563	97812	75613
564	98092	75522
565	98291	75368
566	98498	75219
567	98560	74961
568	98595	74683
569	98663	74430
570	98848	74266
571	98920	74017
572	99124	73867
573	99421	73786
574	99465	73517
575	99525	73261
576	99706	73094
577	100016	73022
578	100057	72753
579	100183	72546
580	100222	72277
581	100486	72170
582	100530	71905
583	100604	71663
584	100804	71510
585	101022	71371
586	101324	71289
587	101373	71030
588	101665	70941
589	101703	70675
590	101932	70542
591	101983	70286
592	102297	70210
593	102710	70202
594	102787	69964
595	102849	69716
596	103198	69663
597	103287	69434
598	103566	69332
599	103619	69079
600	103825	68928
601	104042	68785
602	104424	68750
603	104486	68504
604	104559	68266
605	104620	68020
606	104931	67937
607	105220	67839
608	105582	67787
609	105862	67682
610	106094	67546
611	106407	67460
612	106478	67221
613	106536	66975
614	106899	66920
615	107209	66831
616	107516	66740
617	107572	66492
618	107765	66330
619	108052	66225
620	108094	65970
621	108147	65722
622	108349	65566
623	108401	65318
624	108503	65102
625	108773	64986
626	108827	64740
627	108891	64502
628	109121	64362
629	109381	64239
630	109456	64008
631	109746	63902
632	110062	63812
633	110131	63577
634	110358	63434
635	110625	63313
636	110677	63070
637	110989	62975
638	111024	62722
639	111255	62581
640	111332	62353
641	111417	62129
642	111697	62015
643	111906	61861
644	112139	61720
645	112190	61479
646	112226	61230
647	112276	60989
648	112342	60758
649	112503	60578
650	112805	60475
651	112855	60235
652	113151	60127
653	113316	59950
654	113375	59717
655	113422	59477
656	113474	59241
657	113741	59118
658	114034	59007
659	114303	58883
660	114542	58744
661	114804	58615
662	114860	58383
663	114902	58143
664	114944	57904
665	115299	57822
666	115339	57583
667	115587	57447
668	115836	57312
669	115880	57075
670	115926	56840
671	116221	56727
672	116266	56491
673	116511	56353
674	116743	56209
675	116793	55977
676	116833	55741
677	116877	55508
678	116986	55305
679	117172	55139
680	117228	54913
681	117564	54817
682	117666	54612
683	117701	54376
684	117734	54140
685	117792	53916
686	118038	53778
687	118094	53554
688	118191	53349
689	118237	53121
690	118295	52899
691	118341	52672
692	118393	52448
693	118609	52297
694	118642	52065
695	118684	51839
696	118932	51702
697	119240	51591
698	119278	51363
699	119356	51152
700	119616	51020
701	119886	50892
702	119989	50692
703	120036	50470
704	120071	50242
705	120117	50020
706	120166	49800
707	120470	49685
708	120710	49544
709	120786	49335
710	121067	49210
711	121154	49006
712	121426	48877
713	121689	48743
714	121750	48529
715	121923	48360
716	121960	48137
717	122149	47975
718	122330	47809
719	122420	47607
720	122580	47434
721	122899	47321
722	123059	47147
723	123152	46947
724	123406	46809
725	123454	46593
726	123503	46377
727	123563	46166
728	123865	46045
729	123995	45861
730	124262	45727
731	124462	45568
732	124711	45427
733	124753	45210
734	124812	45000
735	125099	44872
736	125138	44655
737	125178	44439
738	125231	44229
739	125523	44102
740	125860	43991
741	125913	43781
742	126160	43638
743	126323	43466
744	126552	43316
745	126621	43112
746	126856	42964
747	127166	42842
748	127279	42653
749	127487	42495
750	127538	42286
751	127778	42139
752	127840	41934
753	128065	41782
754	128289	41630
755	128537	41485
756	128584	41276
757	128630	41066
758	128854	40914
759	129084	40763
760	129345	40622
761	129654	40495
762	129694	40285
763	129729	40073
764	129763	39862
765	129928	39691
766	129990	39488
767	130293	39359
768	130367	39161
769	130646	39024
770	130688	38816
771	130743	38613
772	131015	38474
773	131107	38282
774	131411	38151
775	131685	38012
776	132117	37917
777	132515	37812
778	132621	37624
779	133105	37542
780	133234	37360
781	133328	37168
782	133833	37090
783	134279	36995
784	134383	36805
785	134819	36706
786	135077	36558
787	135242	36384
788	135343	36194
789	135421	35998
790	135835	35890
791	136337	35805
792	136453	35619
793	136786	35488
794	136871	35293
795	136971	35103
796	137038	34904
797	137374	34774
798	137888	34687
799	137949	34487
800	138016	34288
801	138567	34210
802	138724	34033
803	138839	33846
804	139164	33710
805	139253	33517
806	139772	33427
807	140341	33348
808	140478	33166
809	141067	33089
810	141271	32922
811	141517	32765
812	141864	32630
813	141951	32436
814	142325	32306
815	142791	32198
816	142858	31998
817	143374	31899
818	143538	31722
819	143975	31604
820	144525	31510
821	144627	31318
822	144690	31118
823	144919	30953
824	145394	30841
825	145540	30658
826	145715	30482
827	145874	30302
828	146188	30154
829	146552	30016
830	146714	29837
831	147213	29725
832	147630	29597
833	148298	29517
834	148850	29413
835	148950	29219
836	149041	29024
837	149129	28829
838	149526	28693
839	149964	28564
840	150024	28363
841	150376	28217
842	150472	28024
843	150963	27903
844	151208	27736
845	151376	27555
846	151439	27355
847	151575	27169
848	151863	27009
849	152148	26849
850	152407	26684
851	152460	26483
852	152712	26317
853	152995	26156
854	153038	25953
855	153086	25752
856	153383	25593
857	153425	25392
858	153697	25228
859	153947	25061
860	154014	24864
861	154303	24702
862	154353	24503
863	154599	24335
864	154848	24167
865	155111	24001
866	155387	23836
867	155433	23637
868	155479	23438
869	155794	23279
870	155847	23081
871	155961	22893
872	156055	22702
873	156291	22531
874	156589	22369
875	156793	22194
876	157091	22032
877	157396	21870
878	157690	21707
879	157762	21513
880	158007	21342
881	158231	21169
882	158328	20979
883	158608	20812
884	158678	20619
885	158730	20423
886	158771	20226
887	158845	20034
888	159145	19870
889	159458	19708
890	159783	19547
891	159893	19359
892	160215	19197
893	160269	19002
894	160369	18814
895	160410	18619
896	160506	18430
897	160611	18243
898	160908	18077
899	161078	17897
900	161392	17733
901	161441	17540
902	161719	17371
903	161818	17184
904	161864	16991
905	161924	16800
906	162119	16623
907	162168	16431
908	162361	16253
909	162447	16066
910	162519	15877
911	162552	15684
912	162598	15494
913	162900	15327
914	163173	15158
915	163223	14968
916	163297	14780
917	163568	14610
918	163867	14443
919	163920	14253
920	164125	14078
921	164185	13889
922	164413	13715
923	164472	13528
924	164792	13361
925	164892	13177
926	165204	13009
927	165390	12832
928	165625	12658
929	165666	12469
930	165719	12282
931	166014	12112
932	166062	11925
933	166107	11737
934	166149	11550
935	166371	11375
936	166638	11204
937	166716	11019
938	166803	10836
939	167045	10662
940	167098	10476
941	167287	10300
942	167561	10128
943	167618	9943
944	167720	9761
945	167779	9577
946	168010	9402
947	168056	9218
948	168316	9045
949	168589	8873
950	168639	8689
951	168934	8517
952	168980	8333
953	169076	8152
954	169314	7978
955	169539	7803
956	169838	7631
957	170118	7458
958	170413	7285
959	170725	7113
960	170971	6938
961	171150	6760
962	171447	6587
963	171555	6406
964	171616	6224
965	171674	6042
966	171912	5866
967	171953	5684
968	172149	5507
969	172446	5333
970	172494	5151
971	172544	4970
972	172633	4790
973	172693	4609
974	173001	4435
975	173055	4255
976	173245	4078
977	173476	3902
978	173747	3726
979	173947	3549
980	174217	3374
981	174537	3199
982	174580	3019
983	174635	2839
984	174849	2662
985	175067	2485
986	175370	2309
987	175608	2132
988	175869	1956
989	176149	1779
990	176216	1600
991	176259	1421
992	176320	1242
993	176587	1065
994	176870	888
995	177161	711
996	177206	533
997	177264	355
998	177324	177
999	177616	0
