iter	CrossEntropy
139	0.1986399123
140	0.1985298923
141	0.1984967005
142	0.198458632
143	0.1984349288
144	0.1983525677
145	0.1983398699
146	0.1983291136
147	0.1982970353
148	0.1982698485
149	0.1982120801
150	0.1982020392
151	0.1981491835
152	0.1980952354
153	0.1980260581
154	0.1979445217
155	0.1978878185
156	0.1978109973
157	0.1977563078
158	0.1977349577
159	0.1976525186
160	0.1976415879
161	0.1975774876
162	0.1975199293
163	0.1975199293
164	0.1974907842
165	0.1974311569
166	0.1974245491
167	0.1973639404
168	0.1973021124
169	0.1972632076
170	0.1971916048
171	0.1971373786
172	0.1970669924
173	0.1970061571
174	0.1969513093
175	0.1968360324
176	0.1967832784
177	0.1967285723
178	0.1966657007
179	0.1965760007
180	0.1965277715
181	0.1964831441
182	0.1964511218
183	0.1964184684
184	0.1963468447
185	0.1962900261
186	0.1962660122
187	0.1962633742
188	0.1962506864
189	0.1962082242
190	0.196199412
191	0.1961900005
192	0.1961409796
193	0.1960626267
194	0.1960081607
195	0.1959802962
196	0.1959444707
197	0.195868676
198	0.1958278632
199	0.1958141798
200	0.1958058378
201	0.1957703626
202	0.19574776
203	0.1957030931
204	0.195665769
205	0.1956323646
206	0.1955987065
207	0.1955519835
208	0.1954969845
209	0.1954884867
210	0.1954472208
211	0.1954225776
212	0.1953833193
213	0.1953446548
214	0.1953276873
215	0.1953010069
216	0.1952656494
217	0.1952275959
218	0.1951806925
219	0.1951403191
220	0.1951202781
221	0.1950861452
222	0.195044643
223	0.1950136352
224	0.194953828
225	0.1949295846
226	0.1949120188
227	0.1948866837
228	0.1948411948
229	0.1948394312
230	0.1948241859
231	0.1947595325
232	0.1947504909
233	0.194742609
234	0.1947397511
235	0.1947252848
236	0.1947006022
237	0.1946624542
238	0.1946564403
239	0.1945810582
240	0.1945511584
241	0.1945253955
242	0.1945131265
243	0.1944882291
244	0.1944502863
245	0.1944094921
246	0.1943902064
247	0.1943511269
248	0.1943392879
249	0.1943076806
250	0.1942680893
251	0.1942438001
252	0.1941871354
253	0.194176322
254	0.1941476095
255	0.1941123024
256	0.194111339
257	0.1940777737
258	0.1940764994
259	0.1940585254
260	0.1940380239
261	0.1940122581
262	0.1939961339
263	0.1939704204
264	0.1939201813
265	0.1938945504
266	0.1938865179
267	0.1938662083
268	0.1938595041
269	0.193840604
270	0.1938234273
271	0.1938134125
272	0.1938006372
273	0.1937517224
274	0.1937410102
275	0.1937398857
276	0.1937141727
277	0.193674663
278	0.1936715034
279	0.1936627909
280	0.1936346961
281	0.1936141701
282	0.1935776014
283	0.1935660264
284	0.1935503001
285	0.1935024296
286	0.1934808405
287	0.1934595201
288	0.1934258818
289	0.1934258783
290	0.1933781281
291	0.1933423002
292	0.1933309147
293	0.1933088225
294	0.19330008
295	0.1932871496
296	0.1932677863
297	0.1932551475
298	0.1932263673
299	0.1932001771
300	0.1931567043
301	0.1931505641
302	0.1931240678
303	0.1931032668
304	0.1930518948
305	0.1930179164
306	0.192982613
307	0.1929611007
308	0.19295608
309	0.192908136
310	0.1928920189
311	0.1928628295
312	0.192850952
313	0.1928414214
314	0.1928395439
315	0.1928174746
316	0.1927840217
317	0.1927600044
318	0.1927517948
319	0.1927359771
320	0.1927204845
321	0.1926868419
322	0.1926684091
323	0.1926274281
324	0.1926238461
325	0.1926162702
326	0.1926016693
327	0.192574062
328	0.192552342
329	0.1925284123
330	0.1925284019
331	0.1925135439
332	0.1924876732
333	0.1924753485
334	0.1924531128
335	0.1924521999
336	0.1924131243
337	0.1924066575
338	0.1924036325
339	0.1924004486
340	0.1923848141
341	0.1923771957
342	0.1923681564
343	0.1923477097
344	0.1923441149
345	0.1923322865
346	0.1922894529
347	0.1922617829
348	0.1922467516
349	0.1922164299
350	0.1922010191
351	0.1921632863
352	0.1921512221
353	0.1921455698
354	0.1921440751
355	0.1921235486
356	0.1921002777
357	0.1920822385
358	0.1920666585
359	0.192038776
360	0.1920289938
361	0.1920091348
362	0.1920049726
363	0.1919923492
364	0.1919876651
365	0.1919710051
366	0.1919496486
367	0.1919343733
368	0.1918925122
369	0.1918836004
370	0.1918827636
371	0.1918757302
372	0.1918529313
373	0.1918494885
374	0.1918067367
375	0.1917967218
376	0.1917711298
377	0.1917691423
378	0.1917575303
379	0.191713875
380	0.1916614398
381	0.1916613113
382	0.1916512541
383	0.1916387914
384	0.1916223806
385	0.1916215902
386	0.1916125971
387	0.1916002571
388	0.1915925471
389	0.191580917
390	0.191541287
391	0.1915173839
392	0.1915168335
393	0.1915026483
394	0.1914802706
395	0.1914675204
396	0.1914655771
397	0.1914588364
398	0.1914410634
399	0.1914146316
400	0.1914079144
401	0.1914041192
402	0.1913715788
403	0.1913712375
404	0.1913677066
405	0.191361278
406	0.1913552115
407	0.1913425096
408	0.1913292236
409	0.1913178086
410	0.1913055807
411	0.1912967748
412	0.1912845174
413	0.1912608792
414	0.1912528834
415	0.191209668
416	0.1912047852
417	0.1911900673
418	0.1911640747
419	0.1911383419
420	0.1911327486
421	0.1911152901
422	0.1910950445
423	0.1910735042
424	0.1910667704
425	0.1910609726
426	0.1910592603
427	0.1910586932
428	0.1910258331
429	0.1910100879
430	0.1909881484
431	0.1909646511
432	0.1909613324
433	0.190960204
434	0.1909550405
435	0.1909384171
436	0.1909353331
437	0.1909129247
438	0.1909044342
439	0.1908858254
440	0.1908840183
441	0.1908576504
442	0.1908514099
443	0.1908230485
444	0.1907980618
445	0.1907886916
446	0.190782946
447	0.1907378465
448	0.1907105188
449	0.1907046319
450	0.1906641709
451	0.1906478608
452	0.1906354718
453	0.1906302657
454	0.1906141825
455	0.1905834163
456	0.190576886
457	0.1905631082
458	0.1905569874
459	0.1905480773
460	0.1905206517
461	0.1904997408
462	0.1904776581
463	0.1904712942
464	0.1904493357
465	0.1904322302
466	0.1904102714
467	0.190397104
468	0.19038806
469	0.1903733872
470	0.1903706652
471	0.1903591657
472	0.1903516726
473	0.1903431268
474	0.1903421663
475	0.1903069462
476	0.1903065693
477	0.190301301
478	0.1903012715
479	0.190290538
480	0.1902794593
481	0.1902625574
482	0.1902544851
483	0.1902498291
484	0.190232022
485	0.190223005
486	0.1902152256
487	0.190211945
488	0.1901943401
489	0.1901518457
490	0.1901371383
491	0.1901291889
492	0.1901190681
493	0.190106279
494	0.190073655
495	0.190038313
496	0.1900376702
497	0.1900302277
498	0.1900278776
499	0.1900095477
500	0.1899822318
501	0.1899596941
502	0.1899447768
503	0.1899181215
504	0.1899178589
505	0.1898970855
506	0.1898604469
507	0.1898454404
508	0.1898382369
509	0.1898381902
510	0.1898289371
511	0.189828936
512	0.1898274974
513	0.1898271842
514	0.1898197133
515	0.1897931307
516	0.1897701988
517	0.1897668526
518	0.1897660939
519	0.1897660888
520	0.1897586335
521	0.1897513601
522	0.1897377189
523	0.1897122052
524	0.189705441
525	0.1896722695
526	0.1896620254
527	0.1896467773
528	0.1896274263
529	0.1896073665
530	0.1896072487
531	0.1896019957
532	0.1895916961
533	0.18959146
534	0.1895841624
535	0.1895754155
536	0.1895595625
537	0.1895497269
538	0.1895425402
539	0.1895425394
540	0.1895386517
541	0.1895000334
542	0.1894902273
543	0.1894643512
544	0.1894416917
545	0.1894415652
546	0.1894318611
547	0.1894305741
548	0.1894229766
549	0.1894054743
550	0.1893817917
551	0.1893468476
552	0.1893342855
553	0.1893260088
554	0.1893135807
555	0.189295134
556	0.1892843735
557	0.1892822993
558	0.1892667812
559	0.1892372836
560	0.1892258644
561	0.1892213962
562	0.1892027728
563	0.1891766774
564	0.1891520344
565	0.1891312473
566	0.1891077042
567	0.1890937503
568	0.1890933992
569	0.1890878228
570	0.1890741306
571	0.1890644
572	0.1890543692
573	0.189035403
574	0.1890350111
575	0.1890331566
576	0.1890165962
577	0.1890076263
578	0.1890061241
579	0.1889996615
580	0.1889996557
581	0.1889878777
582	0.1889875714
583	0.1889807832
584	0.1889610869
585	0.1889531256
586	0.1889349273
587	0.188932173
588	0.1889016556
589	0.1889013858
590	0.1888831634
591	0.1888811621
592	0.1888482124
593	0.1888131528
594	0.1887972425
595	0.1887890716
596	0.1887752082
597	0.1887712335
598	0.1887498432
599	0.1887493893
600	0.188733534
601	0.1887251432
602	0.1887024005
603	0.1886960631
604	0.1886881234
605	0.1886855836
606	0.188670443
607	0.1886626813
608	0.1886327718
609	0.1886019313
610	0.1885918243
611	0.1885764141
612	0.1885695941
613	0.1885624538
614	0.1885469618
615	0.1885124233
616	0.1884886478
617	0.1884736499
618	0.1884568969
619	0.1884286117
620	0.1884268717
621	0.1884239508
622	0.1884119083
623	0.1884107936
624	0.1883967318
625	0.1883844177
626	0.1883790197
627	0.1883678594
628	0.1883473701
629	0.1883334407
630	0.1883302553
631	0.1883204966
632	0.1882932608
633	0.1882897624
634	0.1882602602
635	0.1882453316
636	0.1882450687
637	0.1882315622
638	0.1882315612
639	0.188220009
640	0.1882122069
641	0.1882080079
642	0.1881873944
643	0.1881690428
644	0.1881497369
645	0.1881476997
646	0.1881475445
647	0.1881452791
648	0.1881345652
649	0.188125845
650	0.1880763636
651	0.188074818
652	0.1880561206
653	0.1880395749
654	0.1880351992
655	0.1880347298
656	0.1880317005
657	0.1879996117
658	0.1879861303
659	0.1879686726
660	0.1879472056
661	0.1879265127
662	0.1879198886
663	0.1879192908
664	0.187919182
665	0.1879110209
666	0.1879108965
667	0.1878918981
668	0.1878833982
669	0.1878822735
670	0.1878822154
671	0.1878586034
672	0.1878582277
673	0.1878384839
674	0.1878214529
675	0.1878182651
676	0.1878179289
677	0.1878178284
678	0.1877945087
679	0.1877871539
680	0.1877864227
681	0.187757914
682	0.1877461845
683	0.1877461844
684	0.1877461844
685	0.1877446876
686	0.1877390598
687	0.1877380282
688	0.1877224326
689	0.1877217304
690	0.1877179439
691	0.1877168634
692	0.187715183
693	0.1877048357
694	0.1877048339
695	0.1877043658
696	0.1876841799
697	0.1876677116
698	0.1876676476
699	0.1876561277
700	0.18764979
701	0.1876316127
702	0.1876204312
703	0.1876200103
704	0.1876200097
705	0.1876196679
706	0.187618092
707	0.18760042
708	0.187589341
709	0.1875823817
710	0.1875539686
711	0.1875462207
712	0.1875213819
713	0.1875007252
714	0.1874966632
715	0.1874654163
716	0.1874651021
717	0.1874588515
718	0.1874493555
719	0.1874405098
720	0.1874192818
721	0.1873889959
722	0.1873753259
723	0.1873742777
724	0.1873547018
725	0.1873496215
726	0.1873486462
727	0.1873411622
728	0.1873040006
729	0.187294587
730	0.1872877759
731	0.1872748621
732	0.1872628127
733	0.1872627109
734	0.1872613989
735	0.1872432801
736	0.1872432732
737	0.1872432545
738	0.1872401897
739	0.187236552
740	0.187215066
741	0.1872117128
742	0.1872047116
743	0.1871964952
744	0.1871807573
745	0.1871692923
746	0.1871608327
747	0.1871520741
748	0.1871445002
749	0.1871252303
750	0.1871245101
751	0.1871126771
752	0.1871050865
753	0.1870933441
754	0.1870726844
755	0.1870603356
756	0.1870577967
757	0.1870561677
758	0.1870487882
759	0.1870406023
760	0.1870034765
761	0.1869859948
762	0.1869858041
763	0.1869857656
764	0.1869857654
765	0.1869793845
766	0.1869705909
767	0.1869559785
768	0.1869549331
769	0.1869400934
770	0.1869399218
771	0.1869396539
772	0.1869295138
773	0.1869193
774	0.1869032258
775	0.18689917
776	0.1868908332
777	0.1868795295
778	0.1868763096
779	0.1868538383
780	0.1868478998
781	0.1868431627
782	0.1868306971
783	0.1868023525
784	0.1868007819
785	0.1867897792
786	0.1867766929
787	0.1867639556
788	0.1867631103
789	0.186762693
790	0.1867520053
791	0.186719428
792	0.1867168826
793	0.186712727
794	0.1867124338
795	0.1867114035
796	0.1867111281
797	0.1866851702
798	0.186670445
799	0.1866704419
800	0.1866704252
801	0.186653417
802	0.1866465727
803	0.1866453137
804	0.186639499
805	0.1866393468
806	0.1866148899
807	0.1866034002
808	0.1866006591
809	0.1865932423
810	0.1865850462
811	0.1865698425
812	0.1865525882
813	0.1865508326
814	0.1865337713
815	0.1865231026
816	0.1865227472
817	0.1865149656
818	0.1865045642
819	0.1864903064
820	0.1864799465
821	0.186477186
822	0.1864770472
823	0.1864748585
824	0.1864643681
825	0.1864539108
826	0.1864510374
827	0.1864462784
828	0.1864257766
829	0.186407869
830	0.1863989384
831	0.1863871067
832	0.1863777377
833	0.1863658565
834	0.1863598823
835	0.1863553901
836	0.186353777
837	0.1863536596
838	0.1863367936
839	0.1863051333
840	0.186305133
841	0.1862854808
842	0.1862852613
843	0.186280021
844	0.1862571567
845	0.186247181
846	0.1862456796
847	0.1862240487
848	0.1862122215
849	0.1861775178
850	0.186165924
851	0.1861617518
852	0.1861502113
853	0.186140161
854	0.1861400138
855	0.1861393084
856	0.1861172983
857	0.1861172075
858	0.1861076256
859	0.1860944117
860	0.1860890807
861	0.1860701091
862	0.1860602942
863	0.1860429005
864	0.1860264794
865	0.1860041958
866	0.1859834081
867	0.1859826986
868	0.1859824036
869	0.1859538992
870	0.1859522044
871	0.1859404746
872	0.1859336259
873	0.185924386
874	0.1859142832
875	0.1859065887
876	0.1858902296
877	0.1858786286
878	0.1858649389
879	0.1858590014
880	0.1858307506
881	0.1858250118
882	0.1858089852
883	0.1858046371
884	0.1858044125
885	0.1858034386
886	0.1858034047
887	0.1857977968
888	0.1857888909
889	0.1857685133
890	0.1857400197
891	0.1857312159
892	0.1857124901
893	0.185712168
894	0.185701054
895	0.1857008498
896	0.1856954359
897	0.1856744957
898	0.1856660487
899	0.1856565948
900	0.1856480005
901	0.1856468362
902	0.1856330676
903	0.1856269339
904	0.185624835
905	0.1856213672
906	0.185601646
907	0.1856012875
908	0.1855905327
909	0.185588928
910	0.1855834304
911	0.1855834287
912	0.1855832459
913	0.1855631659
914	0.1855345059
915	0.1855341019
916	0.1855285822
917	0.1855155267
918	0.18550588
919	0.1854940658
920	0.1854749757
921	0.1854709757
922	0.1854409155
923	0.1854387433
924	0.1854173553
925	0.1854114673
926	0.1853905387
927	0.1853816026
928	0.1853724444
929	0.1853723607
930	0.185369253
931	0.1853459517
932	0.1853454633
933	0.1853437646
934	0.1853436528
935	0.1853348253
936	0.1853225635
937	0.1853181212
938	0.1852916372
939	0.1852706124
940	0.1852685783
941	0.1852600559
942	0.1852529466
943	0.1852489843
944	0.1852463412
945	0.1852436866
946	0.1852359605
947	0.1852358996
948	0.1852281418
949	0.1852094966
950	0.1852092647
951	0.1851881411
952	0.1851878096
953	0.1851816279
954	0.1851753455
955	0.1851685398
956	0.1851582213
957	0.1851479671
958	0.1851414574
959	0.1851133901
960	0.1851000358
961	0.1850963361
962	0.1850820757
963	0.1850544711
964	0.1850522161
965	0.1850518719
966	0.1850388942
967	0.1850388621
968	0.1850297753
969	0.1850251218
970	0.1850250305
971	0.1850248775
972	0.1850179104
973	0.1850139992
974	0.185007128
975	0.1850059285
976	0.185001995
977	0.1849983744
978	0.1849914013
979	0.184972676
980	0.1849605914
981	0.1849532844
982	0.1849532239
983	0.1849485096
984	0.184937456
985	0.1849258376
986	0.1849032331
987	0.1848800334
988	0.1848758977
989	0.1848654893
990	0.1848646996
991	0.1848646673
992	0.184863965
993	0.184849893
994	0.1848331235
995	0.1848196077
996	0.1848191719
997	0.1848155051
998	0.1848123596
999	0.1847951988
